"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"BB[17,1]",-3.9850379801774,3.49047719350979,-10.7291099799707,-6.34431322432913,-4.02662796538357,-1.68971055126239,3.00471035395329,0.999927153596645,15000,1,0.873666666666667
"BB[18,1]",-3.73532650813026,3.48985500723301,-10.5236710679007,-6.10423399334632,-3.77924839920353,-1.41338153001374,3.21476082899414,1.00043112537118,4221,1,0.858866666666667
"BB[19,1]",-8.63031440968979,3.37668228405257,-15.4654535153696,-10.8345695469303,-8.60233332736416,-6.37853902346152,-2.04035129974994,1.00037245727427,4948,0,0.995333333333333
"BB[20,1]",-5.85394472312406,3.36042847049985,-12.4491120421098,-8.134193006267,-5.8417502873058,-3.58768716095315,0.719796462025991,1.00030366233882,10033,1,0.960333333333333
"BB[21,1]",-5.11671423457846,3.57956046529966,-12.1417260908681,-7.527477540326,-5.1381952558201,-2.78157482598564,2.07907109927122,1.00029554853867,5400,1,0.923333333333333
"BB[22,1]",-0.337146071072547,3.48823499589054,-6.9899627498,-2.7165694832582,-0.404263182309846,1.98749332073097,6.64876773386589,1.00094909432856,2151,1,0.542
"BB[23,1]",-3.76873545897063,3.52477180088056,-10.6214939092684,-6.12242455616893,-3.82733374003118,-1.40884679120662,3.28960681173932,1.00038459338548,4898,1,0.855933333333333
"BB[24,1]",-3.41735399764826,3.63285674318265,-10.4171876382543,-5.88571786752869,-3.47958084463908,-1.02788575815364,3.90726800225323,0.999993338226555,15000,1,0.829466666666667
"BB[25,1]",-4.65433216745349,3.97493345386475,-12.3012894725445,-7.31528947465301,-4.70801859968417,-2.06196682680695,3.31315447497624,1.00016971363165,9193,1,0.880066666666667
"BB[26,1]",-2.49629419203996,3.64172019515885,-9.56651443145194,-4.94823819836033,-2.55116451229267,-0.0942179111472592,4.88052799419074,1.00011249570942,13391,1,0.7588
"BB[27,1]",-7.08948680898132,3.79672298138704,-14.6763373642715,-9.5991459937468,-7.05965386496869,-4.5403577377015,0.286975603639777,0.999993543245121,15000,1,0.969733333333333
"BB[28,1]",-5.75332151739104,3.50738511982294,-12.6274995278402,-8.14799882155811,-5.76591573022388,-3.39324605298019,1.11537954228609,1.00028749269134,7849,1,0.948866666666667
"BB[29,1]",-2.95410532018892,2.92210907430873,-8.6477239645475,-4.9348730134895,-2.98281684915775,-1.00135880698706,2.83706208612603,1.00031226032424,5534,1,0.842866666666667
"BB[30,1]",-4.41295125899807,3.53518993118746,-11.3253577251849,-6.82332415937297,-4.43983995507818,-2.10122032955132,2.58797035183209,1.00013482799718,15000,1,0.892266666666667
"BB[31,1]",-6.77483585379552,3.22347708136577,-13.1344890039921,-8.93426644096629,-6.77974314759828,-4.57646853623826,-0.55475512412767,1.00050806717065,9400,0,0.982666666666667
"BB[32,1]",-5.63611581379929,3.54378162775021,-12.604999347766,-7.99911733599342,-5.63036725038878,-3.31245742233236,1.42471102402248,1.00001959544223,15000,1,0.9424
"BB[33,1]",-3.38687157729836,3.1748779206292,-9.50478026778367,-5.53130179565038,-3.40720424603486,-1.26978619535495,2.8681603973852,1.00005940400522,15000,1,0.8566
"BB[34,1]",-4.69625246831734,2.8127781837293,-10.176643365329,-6.60090647517017,-4.72191080557447,-2.80561629236421,0.795683750153136,1.00023096100916,7855,1,0.950266666666667
"BB[35,1]",-7.46218008140822,3.60306148333961,-14.7913330250457,-9.77615473980399,-7.40729918183716,-5.08018546177633,-0.463012431040497,1.00018506583464,12443,0,0.982
"BB[36,1]",-6.96592506138998,3.34277359261598,-13.6253112852562,-9.1983414854645,-6.9789525668274,-4.74805781685614,-0.303932611768873,1.0001127023899,15000,0,0.9798
"BB[37,1]",-6.22937791844121,3.88222279765544,-13.9017306161547,-8.7668173727626,-6.19897928315489,-3.64062644828469,1.34696107613627,1.00026733463051,11835,1,0.946133333333333
"BB[38,1]",-4.65899443640748,3.64015819735022,-11.692671491114,-7.08702185299587,-4.7094963331814,-2.21977617888872,2.57116411747915,1.00011781095145,12493,1,0.9018
"BB[39,1]",-7.2743473477376,3.33482345389284,-13.9479680299126,-9.53870873231795,-7.25222306565316,-4.9921896751057,-0.9647624653072,1.00008937271898,15000,0,0.9874
"BB[40,1]",-5.38937309693916,3.482595918834,-12.1366480238889,-7.70291575410948,-5.44048499678029,-3.0897754848834,1.54351774330115,1.00006659868773,15000,1,0.936266666666667
"BB[41,1]",-5.69672529228073,3.31409714960461,-12.1816494401545,-7.90389772212199,-5.65069469627085,-3.50710668098256,0.839976847017619,0.999916032473423,15000,1,0.9574
"BB[42,1]",-7.32157032887743,2.86961803202082,-12.8949464285321,-9.25745039146739,-7.29339436768852,-5.3625279981435,-1.69782921362668,1.00032919761863,5571,0,0.995066666666667
"BB[43,1]",-6.62007340814049,3.2398332853858,-12.8952444564007,-8.80224475306628,-6.62941618302376,-4.42672465569467,-0.248327095530947,0.999945011105361,15000,0,0.9794
"BB[44,1]",-7.37316234853563,3.3844242565487,-14.1332383801026,-9.60948654010104,-7.36913832488392,-5.10601646074669,-0.719290259882931,1.00006825081777,15000,0,0.985666666666667
"BB[45,1]",-5.71705913011259,3.60463414946036,-12.844430707049,-8.13102786490505,-5.69865747053385,-3.29054625129479,1.25835391795486,1.00001094481517,15000,1,0.945533333333333
"BB[46,1]",-5.58914674126649,3.78331524912206,-12.9082814174467,-8.13763444342232,-5.62957791867312,-3.10012538568486,1.95634736481525,0.999962894012774,15000,1,0.928533333333333
"BB[47,1]",-3.36403929644835,3.30386270440964,-9.68487606225397,-5.61164846296753,-3.38654771031632,-1.17149196215578,3.15695645901347,1.00055918092673,4415,1,0.843266666666667
"BB[48,1]",-5.19434947104597,3.60901533467829,-12.3211933853756,-7.59599639532949,-5.221773384864,-2.82156981054565,1.91833418764335,0.99998389402386,15000,1,0.922866666666667
"BB[49,1]",-9.79310594286757,3.48162383692664,-16.9420135656154,-12.094139819894,-9.7556056347015,-7.41256573217792,-3.08570054595286,1.00016045946345,9301,0,0.998133333333333
"BB[50,1]",-5.20740877922876,3.62698459478317,-12.3020459419127,-7.61248329254635,-5.23879508949644,-2.79400367907987,2.00522168760243,1.00000651234264,15000,1,0.922466666666667
"BB[51,1]",-3.20573544675872,3.64675026072503,-10.1921659777696,-5.67673564971142,-3.2330824556384,-0.840687486366415,3.95705475355061,1.00021512180541,7797,1,0.813533333333333
"BB[52,1]",-3.270620847256,3.76984183321395,-10.589627434778,-5.82077759492595,-3.33850247278899,-0.778369961491315,4.37420195718339,1.00063675166815,5246,1,0.808533333333333
"BB[53,1]",-4.9657051091281,3.46883591857556,-11.7867402653161,-7.2748669251701,-5.03315352600935,-2.66017753978984,1.95035227299621,1.0005041279895,4661,1,0.922866666666667
"BB[54,1]",-1.85139499216496,3.86869626172574,-9.20515739650386,-4.49395705402782,-1.96131638123603,0.661148164530786,5.99972263188601,1.00059182205693,3607,1,0.689266666666667
"BB[55,1]",-6.22993542997195,3.86504829031929,-14.0156676557323,-8.76839120696356,-6.22092411585707,-3.68508965686032,1.44009440161214,0.99999407793103,15000,1,0.9482
"BB[56,1]",-7.78859333138301,3.69268307803201,-15.1137820056552,-10.2599529927445,-7.78365632174536,-5.30417501447661,-0.632331564517469,1.0000164875067,15000,0,0.982933333333333
"BB[57,1]",-6.60351149293983,3.68659006661953,-13.9225846731583,-9.05235221897383,-6.5765337247302,-4.15363127557715,0.55543972501819,1.00020004778873,15000,1,0.965066666666667
"BB[58,1]",-6.0804289679984,3.29781572626468,-12.598008663174,-8.26578945848033,-6.08433690539151,-3.85655883769087,0.318645997735444,1.00043536053853,5596,1,0.969466666666667
"BB[59,1]",-5.73527260424274,3.62307859432688,-13.008322810227,-8.10994048400455,-5.72092710634851,-3.3586294708041,1.43882713993521,1.00065779946319,13249,1,0.943266666666667
"BB[60,1]",-5.54395383451257,3.87157784649592,-13.1129644129508,-8.09419197722825,-5.5878737803457,-3.03847393875773,2.22342236647308,1.00027101212003,15000,1,0.9218
"BB[61,1]",-2.70499935012582,3.30465064158117,-8.95651270617725,-4.94793138766495,-2.76716271204195,-0.519559850244061,3.97252787321664,0.999987923246633,15000,1,0.797
"BB[62,1]",-2.47324952688888,3.76251882208888,-9.69340078053696,-5.01020501415328,-2.50653789995193,-0.0358430148092128,5.15486376608708,1.00129526216005,2074,1,0.752133333333333
"BB[63,1]",-4.96533765110503,3.845685360239,-12.3638131637985,-7.57822739168523,-4.99340118046836,-2.45377652639287,2.74105246175477,1.00023880531505,15000,1,0.902133333333333
"BB[64,1]",-5.24364702700998,3.45041779290421,-11.9168153702149,-7.58266721612056,-5.30503873073908,-2.95264002049533,1.61361003580498,1.00007404929034,12493,1,0.933733333333333
"BB[65,1]",-2.6167099501467,3.06881769482395,-8.45703509231144,-4.70417277925236,-2.6568720050691,-0.61255715897556,3.48333534586963,1.00035447973864,9494,1,0.807066666666667
"BB[66,1]",-7.01827744276314,3.73745231704336,-14.4455514339118,-9.50462717654887,-7.02362824399343,-4.53018298727637,0.338612892649535,1.00001634767874,15000,1,0.968866666666667
"BB[67,1]",-3.56139118435752,4.01986899335836,-11.268834238604,-6.26346286472424,-3.66437433708293,-0.907523167499663,4.54598702080565,1.00011942793008,15000,1,0.813133333333333
"BB[68,1]",-3.90666550871646,3.32143619403271,-10.4035622350623,-6.145818964832,-3.90850127708042,-1.72394265653715,2.77624232376465,1.0001180037511,9246,1,0.883866666666667
"BB[69,1]",-7.17183484508088,3.78161679538386,-14.6114041217647,-9.68944280976259,-7.16506367025339,-4.64436035666911,0.335902297098815,1.00055267556138,4289,1,0.970933333333333
"BB[70,1]",-7.55118338636651,3.73315001683139,-14.9499446717775,-9.96549721696713,-7.57187873400632,-5.12466222406828,-0.176527193727417,0.999983508878036,15000,0,0.9778
"BB[71,1]",-3.2527060696215,3.57456164521782,-10.1864977148271,-5.69177092539775,-3.28203665564597,-0.851366032987131,3.80358534924269,1.00008586225357,15000,1,0.819866666666667
"BB[72,1]",-4.06376797673034,3.34567982469608,-10.5887454350937,-6.30238144472715,-4.08828616294424,-1.82505244245268,2.54794624183469,1.00050410287598,6415,1,0.8886
"BB[73,1]",-11.6508233260084,3.44941403171029,-18.5801755001519,-13.9170460679676,-11.6065847584795,-9.26733566054703,-5.09655515091995,1.00054884519662,3181,0,0.9996
"BB[74,1]",-2.22434107151254,3.61098655091688,-9.21777105331058,-4.6589860860879,-2.27783525724047,0.125937781049965,5.04515663974454,1.00020371865553,6819,1,0.738533333333333
"BB[75,1]",-10.6133514659779,3.86046381000421,-18.4246108938926,-13.1594685751641,-10.4861568104934,-7.96814733005917,-3.37371164595666,1.00023441030685,7110,0,0.997866666666667
"BB[76,1]",-2.13586888736556,3.23621907237737,-8.40387170088396,-4.33279416117393,-2.20171990008645,0.00300135736419249,4.313647007208,1.00009921484788,11336,1,0.7498
"BB[77,1]",-7.29156619682274,3.44120055475995,-14.0279461502725,-9.54718834139395,-7.31254661181943,-4.99083615389861,-0.487835749424058,1.00018882477197,15000,0,0.981266666666667
"BB[78,1]",-5.61006660913413,3.85955483422987,-13.2027393281947,-8.18612356191975,-5.61561040305873,-3.06728425657693,1.96116412715705,1.00008123304897,15000,1,0.9252
"BB[79,1]",-6.61578323935753,3.64131008622918,-13.8086467957123,-9.00043807955749,-6.60946063091532,-4.15174489283084,0.499067883961202,0.999933053115011,15000,1,0.966266666666667
"BB[80,1]",-6.13544775255869,3.533498134365,-13.2079850721006,-8.48385194985735,-6.0837613745505,-3.81105265301919,0.816212710266964,0.999941317789381,15000,1,0.959733333333333
"BB[81,1]",-6.22275880821236,3.9227784888861,-14.0568017539078,-8.8337008911069,-6.19162318401813,-3.62336365410182,1.42041320692414,1.00005482542137,15000,1,0.944466666666667
"BB[82,1]",-4.09339526369876,3.30247723064406,-10.6001397468294,-6.29661383908436,-4.10169774172204,-1.89296376239368,2.41677086629118,1.00003158802255,15000,1,0.892133333333333
"BB[83,1]",-1.528327676852,3.45400891410456,-8.06652333450733,-3.87803338355508,-1.62684669378843,0.746771071956228,5.33126445495876,1.00003462155744,15000,1,0.6782
"BB[84,1]",-3.705151575439,3.36076139972227,-10.1463043072554,-5.99297368796611,-3.73369399007698,-1.50424844091906,3.01993276923038,1.00008611018451,13127,1,0.863866666666667
"BB[85,1]",-4.08953639884254,3.28018607065731,-10.5595925578865,-6.26825441014418,-4.1167659042156,-1.94943763531535,2.40453122435382,1.00026755405603,6333,1,0.8942
"BB[86,1]",-3.37451727842436,3.23259034477197,-9.60943530860202,-5.54945640216674,-3.43596082152699,-1.19344343901241,2.96295509518739,0.999967610141583,15000,1,0.8496
"BB[87,1]",-3.53584023412555,3.24193939452932,-9.71487083640634,-5.71403590060801,-3.62837372870795,-1.3967733780125,3.02566550195885,1.00068436244551,3504,1,0.862866666666667
"BB[88,1]",-2.67524893784306,3.22912206616687,-8.90083233166207,-4.90006933631006,-2.71750482638001,-0.506088682524577,3.74642597884502,0.999999124754426,15000,1,0.798
"BB[89,1]",-6.2809414142006,3.58134846250011,-13.4029777950985,-8.6785048733558,-6.28096811955078,-3.85895003957524,0.694354514741276,1.00015103005414,12587,1,0.960733333333333
"BB[90,1]",-4.98262099877824,3.49725269159776,-11.8212547795464,-7.32497253756261,-5.01210142170251,-2.61490676230186,1.99763439121218,1.00015289250987,12247,1,0.924
"BB[91,1]",-3.64233208395119,3.35861335239945,-10.1567436704191,-5.9050738069052,-3.66248953904555,-1.4050616013883,3.04017105169439,1.0002968219254,5637,1,0.8608
"BB[92,1]",-1.59549367651934,3.26541211563623,-7.9614599699596,-3.81049633604031,-1.64591934954364,0.6137667833375,4.83865102837738,1.00039028073413,4241,1,0.689466666666667
"BB[93,1]",-7.21515595187975,3.81719003299982,-14.7016743552615,-9.72825531333011,-7.20205557196598,-4.70467736057058,0.401119486809355,1.00005977638234,15000,1,0.969333333333333
"BB[94,1]",-3.0252359746749,3.29590180016846,-9.42142248630745,-5.27030734939708,-3.05975279115252,-0.818033260818239,3.51369523966928,1.0003843338425,4702,1,0.821933333333333
"BB[95,1]",-6.65882184552589,3.5544202869388,-13.7127504814894,-9.01584165314766,-6.65585559107622,-4.27001926809574,0.304261319896398,1.00017707597621,15000,1,0.9704
"BB[96,1]",-5.79349068048587,3.50681241725576,-12.7876888819364,-8.05426359867466,-5.78813402353862,-3.50484715500919,1.12096221658323,0.999984354299384,15000,1,0.952133333333333
"BB[97,1]",-8.6650196159664,3.77485579343808,-16.2404566382834,-11.1267033870367,-8.56862745714996,-6.14875973828116,-1.36378477823697,1.00015495009531,8073,0,0.989466666666667
"BB[98,1]",-6.11155643004366,3.60416385056848,-13.2205209357652,-8.51262537523112,-6.09017792822937,-3.67535834109445,0.879378109035675,1.00008084140856,11293,1,0.9564
"BB[99,1]",-5.20018074966412,3.72267581295717,-12.4468858668791,-7.65316216656716,-5.2183598990392,-2.7506205508783,2.19683620289587,1.00016714828081,9101,1,0.920933333333333
"BB[100,1]",-5.24745835208617,3.41579187678463,-11.9125151144848,-7.54890420691122,-5.236924577796,-2.96689069229211,1.52411601409598,1.00008526002316,15000,1,0.937533333333333
"BB[101,1]",-4.6231791771392,3.47870010778141,-11.3538026646505,-6.9538181952148,-4.63241694345447,-2.33876223172951,2.41686307325947,1.00017093621062,9881,1,0.91
"BB[102,1]",-5.95477700816852,3.49539702882537,-12.8617981962104,-8.30933498456817,-5.94460847023983,-3.60668627864457,0.939632437151411,0.999940366948613,15000,1,0.956
"BB[103,1]",-6.64153566148921,3.58748730042223,-13.682048612463,-9.02576198234739,-6.63968999944657,-4.23862158098929,0.391816970877577,1.00014355660476,14051,1,0.9682
"BB[104,1]",-5.03507699909124,3.98903129178421,-12.8138779182223,-7.70555596388936,-5.05291224888335,-2.39340044153556,2.84781451353383,0.999984700960194,15000,1,0.898866666666667
"BB[105,1]",-4.35338136416925,3.02316219186002,-10.280506176056,-6.36909476082459,-4.34349699833134,-2.33606741442504,1.58970574804392,1.00004264367763,15000,1,0.926533333333333
"BB[106,1]",-5.94690760909193,3.54622961931925,-12.9683048550996,-8.31395023919476,-5.94632891036532,-3.55788301786084,1.0822572374503,1.0000615369923,12769,1,0.9538
"BB[107,1]",-5.64374615013999,3.58160094290464,-12.6544490663445,-8.0341928394503,-5.69575304785337,-3.23776909549238,1.45772806033999,1.00014030037793,15000,1,0.942733333333333
"BB[108,1]",-5.42891746497394,3.35804677406046,-11.9409039446976,-7.68386034957979,-5.42442316589521,-3.18465735485564,1.16090193416791,1.0002447171822,15000,1,0.947733333333333
"BB[109,1]",-6.93062766399494,3.74589833160573,-14.424791022197,-9.38567711845535,-6.9172034537335,-4.46858878113849,0.500364326210056,1.00012839522545,9980,1,0.966733333333333
"BB[110,1]",-5.56290882088163,3.63991388732756,-12.7513347265068,-7.94306695768189,-5.5670084089311,-3.15565421615489,1.69147022205377,1.00022518044168,12153,1,0.9382
"BB[111,1]",-3.13597382489495,3.2460952893787,-9.38619438213717,-5.33192547513697,-3.2029339630613,-0.951482106247824,3.2821758133792,0.999948808343786,15000,1,0.834
"BB[112,1]",-3.01569312834655,3.08636914772076,-8.89489189569221,-5.08748200226429,-3.05971487241448,-0.938553318263848,3.16614153371635,1.00004811250186,15000,1,0.835733333333333
"BB[113,1]",-7.03237328241122,3.45530835438961,-14.0086528596032,-9.31586780243509,-7.01908314138399,-4.73628386835236,-0.229272572508192,1.00009266946014,15000,0,0.9786
"BB[114,1]",-6.4711786785166,3.55742744478166,-13.5058100102805,-8.82074495719014,-6.46598834256637,-4.09608830175678,0.380267231135134,1.00034886454421,9886,1,0.967466666666667
"BB[115,1]",-4.21245540280752,2.98730620303631,-9.98054259415673,-6.24832296719319,-4.20342999632493,-2.24695907256394,1.80174402687089,1.000485678806,15000,1,0.919666666666667
"BB[116,1]",-3.17805845978116,2.90620219371279,-8.7592564059334,-5.15569491712472,-3.19380631098143,-1.23121917244747,2.58611233927495,1.00034896760152,5778,1,0.862133333333333
"BB[117,1]",-6.20050078180447,3.5904677844062,-13.2913848246645,-8.56657101767578,-6.20646975888232,-3.81008444954329,0.972894362352367,1.00012518861874,12185,1,0.9566
"BB[118,1]",-3.11794821389751,3.56603841716642,-10.0107056378293,-5.51867180438159,-3.15372263291423,-0.791232101698722,4.12697981367206,1.00013644274843,15000,1,0.812733333333333
"BB[119,1]",-3.63067494369358,3.26970194193885,-9.99922618975332,-5.85284961459159,-3.65002350279968,-1.45961011621035,2.79825516786711,1.00038118950477,5155,1,0.8672
"BB[120,1]",-6.92841112452461,3.4906730849907,-13.7791321803457,-9.26064988745272,-6.92456541911936,-4.58907465866725,-0.0585044994022775,1.00010677721114,15000,0,0.975733333333333
"BB[121,1]",-5.00067824332243,3.73204988783191,-12.2430089755709,-7.46315017846557,-5.04532989674684,-2.53727318765785,2.3254311448063,1.0001785461592,11936,1,0.909333333333333
"BB[122,1]",-1.62424030779184,3.38019326531566,-8.1002384046141,-3.93117846285779,-1.69454691022601,0.615483908476166,5.18713217646392,1.00088723979493,2205,1,0.687066666666667
"BB[123,1]",-6.32271513896196,3.58426270376641,-13.4310097020098,-8.71808200578361,-6.34412105446834,-3.9260949382322,0.710609007226173,1.00018954185791,15000,1,0.960066666666667
"BB[124,1]",-3.69857644737115,3.03899407186223,-9.66162278006385,-5.71184400069946,-3.70000881867817,-1.69127627900726,2.32855266284167,1.00009213265579,15000,1,0.890866666666667
"BB[125,1]",-5.19024738136969,3.58687068630622,-12.2394699654307,-7.58897292201964,-5.19776152506792,-2.79571968295906,1.79004565818856,0.999976453574211,15000,1,0.926533333333333
"BB[126,1]",-5.00693314135505,3.57543108188619,-11.9188039238278,-7.42341116291954,-5.0293685737013,-2.64525853579669,2.14323519919746,1.00001711178468,15000,1,0.917066666666667
"BB[127,1]",-4.71200530301135,2.76115156929998,-10.0893635681952,-6.57491357653567,-4.70717398122214,-2.85522990392849,0.683870616811297,1.00025642128594,6001,1,0.955333333333333
"BB[128,1]",-11.2692770182057,4.06665261075046,-19.4809131091823,-13.9136007935381,-11.1730546819076,-8.55494039073749,-3.45111414006086,1.00127636580593,1604,0,0.998
"BB[129,1]",-7.16566643221983,3.62630903596324,-14.3378066405684,-9.5941668726139,-7.13676260047263,-4.76487640696513,-0.0220667096578784,1.00035221363204,5397,0,0.9752
"BB[130,1]",-4.60226710272854,3.55747681064309,-11.6377070540004,-6.97479970853357,-4.58092394466521,-2.26678450053474,2.48647756391865,0.999967672856069,15000,1,0.904133333333333
"BB[131,1]",-6.34420202081643,3.56150605753577,-13.3253931674955,-8.74316158351057,-6.3540839105848,-3.97648956705638,0.72628245121502,1.00004928791261,15000,1,0.9602
"BB[132,1]",-5.23371894072383,3.51236237826001,-11.9920149078713,-7.58742588188391,-5.22412950092136,-2.94485936332396,1.78498162966354,1.00007712404683,15000,1,0.932333333333333
"BB[133,1]",-6.27810705886824,3.57528994709116,-13.3700365379713,-8.6426804831792,-6.29167529500104,-3.90620919509515,0.77716966974178,1.00031746912871,5690,1,0.9598
"BB[134,1]",-7.27762818286996,3.43026023032299,-14.0399452944685,-9.54202430180057,-7.19800165432606,-5.02899832450179,-0.524924478480028,1.00014027360079,15000,0,0.982866666666667
"BB[135,1]",-5.09048274124135,3.58871395714306,-12.1628381997527,-7.50367150053081,-5.08332428074159,-2.67518746678122,1.86762615402254,1.00010800232341,15000,1,0.923266666666667
"BB[136,1]",-7.56236392249298,2.86113794879378,-13.1753881695945,-9.47908233928009,-7.54542319077746,-5.60810507942651,-2.05259968490599,0.999964738262148,15000,0,0.996533333333333
"BB[137,1]",-8.61090781712854,3.77855806765642,-16.1544671923553,-11.1031597647365,-8.58841744717506,-6.0687572585065,-1.31546585515098,1.00046440151125,4769,0,0.9886
"BB[138,1]",-6.66916133765147,3.62130484483483,-13.7567828214927,-9.0785507270332,-6.66506831998065,-4.27215559137457,0.513706243038844,1.0002847505786,8575,1,0.9664
"BB[139,1]",-2.9647474024697,3.16022826560483,-9.05645212468936,-5.10861813719045,-3.02779209797544,-0.872779401887411,3.39668283767472,1.00118504794978,2256,1,0.827533333333333
"BB[140,1]",-3.821106041622,3.76578245417529,-10.9616855990785,-6.38963168754707,-3.88961069517384,-1.29382635485352,3.70673110326143,1.00003625548354,15000,1,0.846333333333333
"BB[141,1]",-6.69534206775867,3.49029887094631,-13.5657348153063,-9.0447230787739,-6.68515872910017,-4.34273376281918,0.0998894600660097,1.00006086344318,15000,1,0.973066666666667
"BB[142,1]",-5.57218387368609,3.70442877911039,-12.7096085248519,-8.0845818222877,-5.59026671576851,-3.07022957736339,1.7131156000751,1.00014353426661,15000,1,0.934333333333333
"BB[143,1]",-3.34197319109683,3.50457094100433,-10.1390309818218,-5.70034317128323,-3.34425363116652,-1.04338186322704,3.68145460053429,1.00007043606092,15000,1,0.838333333333333
"BB[144,1]",-5.28594080068846,3.87907340913958,-12.936165470441,-7.81630753730397,-5.32451954221871,-2.70403486388805,2.26440725286042,1.00046633798949,15000,1,0.913666666666667
"BB[145,1]",-4.39448985204753,3.57873706015153,-11.3019245526648,-6.80549812774941,-4.42234252288668,-2.02925055364596,2.70342223809746,0.999981170805207,15000,1,0.8898
"BB[146,1]",-1.51931718526956,3.25324558250644,-7.81784598795926,-3.70306679661414,-1.56173838869522,0.634106204112683,5.01199939876835,1.00039039944487,6742,1,0.684733333333333
"BB[147,1]",-5.39131899110887,3.64846506104631,-12.4989703645783,-7.830753933157,-5.421104787025,-2.93040258853893,1.90044587499754,0.999991464621777,15000,1,0.9318
"BB[148,1]",-4.89527126033953,2.88025297724021,-10.5416149737207,-6.82397829925458,-4.89318835024075,-2.97852127661475,0.783709918972878,1.0000873642403,15000,1,0.955
"BB[149,1]",-2.10676079957103,3.32848504253803,-8.42823159966248,-4.39621161431593,-2.16961417674699,0.11883319175256,4.53131670426755,1.0003026266327,5717,1,0.7388
"BB[150,1]",-4.38843556536369,3.38413099919552,-10.9528006575511,-6.63839513406071,-4.40863267741742,-2.17512563390498,2.32462185467612,1.00064956600066,4155,1,0.902666666666667
"BB[151,1]",-4.43556354533697,3.94740540592687,-12.2517412129057,-7.00962005636353,-4.44075449031841,-1.88418864680638,3.4519250322711,1.00032794930104,15000,1,0.8734
"BB[152,1]",-8.41230854852666,3.66457004500696,-15.7671168038647,-10.8329120366834,-8.34331857347335,-5.96832678464231,-1.39223232722373,1.00058484332348,3346,0,0.989733333333333
"BB[153,1]",-3.11485936278772,3.77361042101711,-10.3218729308799,-5.65443948512481,-3.1946795069323,-0.615607389702092,4.47855102401251,1.00024497120865,15000,1,0.797866666666667
"BB[154,1]",-6.19321208274616,3.25887229255543,-12.6224370468306,-8.37923081916983,-6.18442398342006,-4.00397121271407,0.159585166051712,1.00013565848466,10372,1,0.9724
