"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"BB[12,1]",-11.2859170224941,3.92179282718261,-19.3159098113639,-13.8457624968735,-11.1793606254163,-8.60133733685064,-3.9680626784105,1.00147032503758,1314,0,0.998333333333333
"BB[13,1]",-6.17195878524331,3.44356799843691,-12.9087113800941,-8.47325615016952,-6.19220443139427,-3.90740515277541,0.673097153545278,1.00084144319692,2962,1,0.962533333333333
"BB[14,1]",-4.01116456937415,3.50897633191671,-10.8348720667897,-6.38010524748013,-4.04722388080136,-1.72069305530764,3.03908932735959,1.00017623818219,7971,1,0.875
"BB[15,1]",-5.06316365330229,4.04546774582723,-13.0032053375791,-7.73321252843214,-5.09399221042263,-2.43070465138118,3.05429790822792,1.00075462280575,4111,1,0.898
"BB[16,1]",-7.43167946901155,3.85176465460769,-15.0886456371919,-10.0097300275096,-7.39058133965257,-4.85763103354671,0.121320247007583,1.00018178188916,9369,1,0.9734
"BB[17,1]",-4.52836738256834,3.55714531997774,-11.3161700066185,-6.94331878914234,-4.58325188121594,-2.17834588097379,2.64474235844046,1.00060386421886,4949,1,0.897
"BB[18,1]",-10.9748733194033,3.88755020997648,-18.9583488125647,-13.4524497298977,-10.9028366130386,-8.35561506953535,-3.58993326615293,1.00070409363496,3515,0,0.998466666666667
"BB[19,1]",-6.05296616558279,3.58843651407094,-13.1208519705255,-8.42719583347965,-6.06696676593905,-3.70643959499649,1.03253570102461,1.00009076843528,15000,1,0.953666666666667
"BB[20,1]",-3.58783573799697,3.2512702727932,-9.93974352950447,-5.78815473526693,-3.60360846937224,-1.4060190122883,2.86218652621246,1.00006760042106,15000,1,0.865133333333333
"BB[21,1]",-4.96698502584185,2.82732754145477,-10.4058533172081,-6.87421452846632,-4.9798871187194,-3.09451684593569,0.673974726345877,1.00043668321227,5387,1,0.9572
"BB[22,1]",-11.3829644517706,3.95231741080134,-19.3670312590702,-13.9643038432636,-11.2855341676921,-8.71331863050954,-3.92227858214281,1.00098780794764,2203,0,0.999066666666667
"BB[23,1]",-6.67041236898866,3.83961268075528,-14.3387530364422,-9.17965075426413,-6.691944621903,-4.11316280239732,0.926204911395946,1.00063180914041,15000,1,0.958733333333333
"BB[24,1]",-11.0712350693769,3.93735710716539,-19.0121232482775,-13.6343727478801,-10.9958842704941,-8.41571130840997,-3.58632415165306,1.00038996217192,4932,0,0.998133333333333
"BB[25,1]",-5.96668633564334,3.30718860265695,-12.4906233964097,-8.13792984711522,-5.99071162536666,-3.76155306940431,0.601382439015584,1.00037271163688,5532,1,0.963866666666667
"BB[26,1]",-7.21466073778756,2.86114051824448,-12.8405776909857,-9.13515043573326,-7.20972026643253,-5.28416937127598,-1.58765698216821,1.00009095129601,15000,0,0.994866666666667
"BB[27,1]",-7.90239485056768,3.42257517494692,-14.6322692194435,-10.1998714182863,-7.89193619884904,-5.62736635571117,-1.22916024701716,1.00010980145903,10988,0,0.989133333333333
"BB[28,1]",-5.84223648950944,3.59531394696523,-12.9232037687172,-8.27069804395071,-5.83808192953449,-3.41263012841536,1.23039100761355,1.00049593835,7147,1,0.948866666666667
"BB[29,1]",-5.91683280440932,3.85091225954124,-13.4416521496381,-8.48299673762924,-5.92136201309146,-3.36694509641924,1.68654561637913,1.00000412585408,15000,1,0.937933333333333
"BB[30,1]",-3.54348163786553,3.4134654868423,-10.195758335014,-5.83114803999093,-3.55098275671666,-1.24601089642392,3.11940493719525,1.00031474659772,14065,1,0.850066666666667
"BB[31,1]",-11.0089347446131,3.90634566053505,-18.9603201882943,-13.5581458488984,-10.8619715945634,-8.32774383862555,-3.67109307303546,1.00063372213144,2774,0,0.9984
"BB[32,1]",-5.54744999093383,3.6900311862962,-12.8571631801979,-7.94195046133328,-5.54863354565531,-3.17434686084774,1.79902158311328,1.00043538319809,7614,1,0.9336
"BB[33,1]",-5.32231284325528,3.48006100968495,-12.1826253684676,-7.63369006811723,-5.33962885457864,-2.99070622026677,1.60889133141044,1.00002664511233,15000,1,0.9386
"BB[34,1]",-6.59167510751135,3.87026880306418,-14.2799779544612,-9.13614321010138,-6.60154645484604,-4.03258995982625,1.05227635430816,1.00027762085632,15000,1,0.955933333333333
"BB[35,1]",-6.94034074901819,3.82321704453839,-14.7222119941377,-9.46510008798921,-6.87415674726418,-4.46074610399236,0.494228165602633,1.00015503072959,15000,1,0.9664
"BB[36,1]",-6.2092678523547,3.74110734314051,-13.4690166264607,-8.74090029547476,-6.21908948629641,-3.7196680173459,1.19694532805989,1.00030940471473,5549,1,0.949333333333333
"BB[37,1]",-2.3652767424847,3.63745176383501,-9.38823433269379,-4.82715259998413,-2.43625950124151,0.00357952832267705,4.95166748208247,1.00024672157023,6326,1,0.749533333333333
"BB[38,1]",-5.37041480254963,3.92624252639747,-12.9577942097111,-7.99881189641435,-5.43665658055402,-2.78750416809486,2.48913126892196,1.00015635312539,15000,1,0.913466666666667
"BB[39,1]",-5.68741627664698,3.46454266549441,-12.3899205726515,-8.01687955675819,-5.71311087745224,-3.39424517917182,1.24331716728011,1.00003086384777,15000,1,0.948333333333333
"BB[40,1]",-7.40396616653685,3.80225246800315,-15.0346831239587,-9.89043942864015,-7.3623948648402,-4.83584938195552,0.0174286477492341,1.00022698550807,15000,1,0.974466666666667
"BB[41,1]",-4.01280052053747,3.41618965814266,-10.6566184332451,-6.29871844327583,-4.05415701617671,-1.73140724169224,2.7969526748095,1.0006141385209,3619,1,0.878133333333333
"BB[42,1]",-7.47053835331709,3.84973766857193,-15.1826277628966,-10.0052228963263,-7.44507263807396,-4.89729416859903,0.101039139085579,1.0000335950685,15000,1,0.973266666666667
"BB[43,1]",-4.11630749876739,3.38616186965737,-10.6883511868152,-6.42364240841389,-4.15469410004425,-1.85186990204784,2.59668988514187,1.00018646751932,15000,1,0.888
"BB[44,1]",-10.7274685481195,3.94013473047321,-18.8284985672066,-13.3325106569087,-10.6011716467507,-8.0421763482438,-3.31659045821129,1.00075451107157,3092,0,0.998066666666667
"BB[45,1]",-2.30220248101509,3.63122934358599,-9.24576166275085,-4.76056849170144,-2.37448645636047,0.0922413909149646,4.98419373942087,1.000618341246,3569,1,0.741533333333333
"BB[46,1]",-11.1036763403783,3.90305650033939,-19.2122624211917,-13.5949751657755,-10.9618603401986,-8.40260875152535,-3.90315088804465,1.0010053724327,2320,0,0.998866666666667
"BB[47,1]",-2.82704347479643,3.71620881647918,-10.0225437422274,-5.34515713272117,-2.91882338126014,-0.362562813278521,4.68927500141209,1.00033800214443,5833,1,0.777533333333333
"BB[48,1]",-7.70434162100713,3.4282550104025,-14.5635060385568,-9.99195367887662,-7.69641179773418,-5.40904800822049,-1.09988620936935,1.00038811678644,6861,0,0.9892
"BB[49,1]",-6.47548164083765,3.63680229147512,-13.6862615526882,-8.93878778133146,-6.47232981676533,-4.04729698142979,0.60748323858427,1.00006361327558,15000,1,0.961933333333333
"BB[50,1]",-4.18834690354418,3.41685749610241,-10.8310381563407,-6.47842982597123,-4.2293964959836,-1.90068338844835,2.61853882446647,1.0001172299529,11251,1,0.8892
"BB[51,1]",-3.9033193278346,3.46730707995543,-10.5595150777685,-6.26227566157803,-3.92126312206263,-1.59695773975801,3.0831244746995,1.00036533695802,4825,1,0.8722
"BB[52,1]",-4.18481296758697,3.36588222744113,-10.7138408932492,-6.44839256672377,-4.20345418880953,-1.96984886976285,2.57485844840498,1.0000605599775,14467,1,0.896133333333333
"BB[53,1]",-3.66366212089174,3.29549932186621,-10.0824318283499,-5.8703591065765,-3.68040741403895,-1.49887145234859,2.90075974544981,1.00017844086042,8579,1,0.869266666666667
"BB[54,1]",-2.91219912160241,3.30260308005331,-9.38630495393215,-5.13616585139364,-2.92039368990181,-0.709143868337732,3.64246847966838,1.00071936707909,3247,1,0.815533333333333
"BB[55,1]",-6.55259459562903,3.64001231392783,-13.8068695043371,-8.95247615431248,-6.52024632658396,-4.09318042581211,0.507284334310695,1.00002431080589,15000,1,0.966733333333333
"BB[56,1]",-7.57644889782905,3.88017508202631,-15.2094445759875,-10.1334080743474,-7.56017521081917,-4.96908348106552,0.017771062286762,1.00006676842034,15000,1,0.974533333333333
"BB[57,1]",-3.20392648236862,3.42259406797028,-9.73862886686057,-5.50065471322467,-3.26312296816511,-0.917427615388007,3.71374429730889,1.0004535615669,5054,1,0.829733333333333
"BB[58,1]",-7.12147213326523,3.70419230906478,-14.4951283644622,-9.57508245624665,-7.132721595816,-4.5989726507444,-0.0330313632852699,1.00002012505402,15000,0,0.9758
"BB[59,1]",-5.50335376884112,3.86000747414803,-13.0084231958515,-8.06548697768734,-5.55074271574979,-2.96356019072467,2.1772530475685,1.00025396434487,15000,1,0.922266666666667
"BB[60,1]",-5.61601136152077,3.84838716603533,-12.9970890471876,-8.18359206526535,-5.69179881861497,-3.05027953068334,2.04401385843671,1.00021026596438,15000,1,0.927666666666667
"BB[61,1]",-5.52717239052384,3.52869824508417,-12.4430208021065,-7.86127248656083,-5.55288422452956,-3.16732081510754,1.4821316230938,0.999960696587538,15000,1,0.942333333333333
"BB[62,1]",-6.55827938168119,3.66429366887724,-13.7102153685431,-8.99791796490436,-6.55818908324882,-4.12210601851631,0.707110150454162,1.00010477801569,15000,1,0.963
"BB[63,1]",-7.11855782884442,3.73801289773787,-14.5609911206151,-9.5878122874467,-7.10324314016181,-4.62859728801367,0.0784898013875218,0.999993606416051,15000,1,0.973266666666667
"BB[64,1]",-4.44823953965029,3.04664118394069,-10.3539529111633,-6.49649379657631,-4.47719208970677,-2.42430463057293,1.64084892537316,1.0002482450997,6211,1,0.926666666666667
"BB[65,1]",-6.55810614351992,3.68625082877989,-13.7176107597953,-9.02386793844041,-6.54594561820093,-4.10193332339151,0.746794173474201,1.00012733557602,15000,1,0.962
"BB[66,1]",-5.82072673541643,3.57287574188485,-12.8202519233282,-8.20302976519306,-5.80906120950846,-3.42101969769359,1.10252395224042,1.00004056943591,15000,1,0.949266666666667
"BB[67,1]",-5.72786958934037,3.3714709100294,-12.2449211335895,-7.98313321026858,-5.80008217264623,-3.49967689747359,1.02007040854553,1.00026613845201,15000,1,0.9526
"BB[68,1]",-7.16596570946482,3.84359308170917,-14.933047808029,-9.63239739685261,-7.10991352181438,-4.61151063921862,0.236575148559681,1.00018832094423,13439,1,0.971333333333333
"BB[69,1]",-5.99379305231805,3.75375786736805,-13.2983791504939,-8.49434294701267,-6.01651013257915,-3.52139473483768,1.44685172997212,1.00010245948129,15000,1,0.943533333333333
"BB[70,1]",-3.30515006787197,3.30919646913839,-9.64653920817461,-5.5404674194392,-3.36889000600027,-1.08474842687734,3.3562311904773,1.00045195732378,3965,1,0.842
"BB[71,1]",-3.2403016901626,3.65633324613117,-10.3107510198617,-5.71390706418072,-3.24045234626876,-0.825037389226797,4.07744861698851,1.00040292773621,5686,1,0.813933333333333
"BB[72,1]",-7.35232990415511,3.50447552186663,-14.3020758408132,-9.6826783029207,-7.30136690372562,-4.99868276682231,-0.577948797469068,1.00021768716944,10184,0,0.9824
"BB[73,1]",-4.65161365433452,3.00557793782961,-10.5508319253573,-6.66185982621742,-4.66833059360456,-2.69655820042034,1.32593104093363,1.00019405596597,10827,1,0.9362
"BB[74,1]",-2.82413002330859,2.92593455143271,-8.46082584998673,-4.77956031144261,-2.85244755847207,-0.845432694889434,2.93472702589304,1.00076307466554,2466,1,0.834333333333333
"BB[75,1]",-3.40553627114038,3.64000554620434,-10.5087217365198,-5.85040721081521,-3.42883970581076,-0.964428747214725,3.73798179060709,1.00068083500202,3262,1,0.829333333333333
"BB[76,1]",-3.84391752859076,3.37457941255828,-10.335711586693,-6.12746431571438,-3.86167148967856,-1.5988421540729,2.81830313055966,1.00031766341611,10037,1,0.873733333333333
"BB[77,1]",-1.89095917963087,3.44778250616315,-8.49545418363533,-4.25656187430548,-1.94912422788799,0.398748658668121,5.00949947543636,1.00058723702115,3665,1,0.712733333333333
"BB[78,1]",-4.11524840273295,3.09989795956355,-10.1055257926305,-6.21749690188518,-4.19160674909597,-2.04088279957032,2.08408349283737,1.00016135440951,8834,1,0.906866666666667
"BB[79,1]",-5.32225661963881,3.66508734602548,-12.5539407726509,-7.7500630557219,-5.29990445417877,-2.89423841236022,1.94719354306312,1.00028906746519,15000,1,0.929066666666667
"BB[80,1]",-5.28165591115021,3.60363125625821,-12.3254636249203,-7.69743086451038,-5.26325920066361,-2.89001530992053,1.78688225275805,1.00014323884424,12961,1,0.9302
"BB[81,1]",-4.9283838373122,2.7752635110062,-10.3912345991669,-6.79144804974547,-4.94148169148956,-3.05096847559317,0.517236058584443,1.00008392901996,15000,1,0.962866666666667
"BB[82,1]",-7.62052852247341,3.75647099713235,-15.1265142378666,-10.1202645270446,-7.55662626704816,-5.12800750257954,-0.248604094958602,1.00016061873652,15000,0,0.979
"BB[83,1]",-4.73898546093854,3.54746961544774,-11.6009481111964,-7.11193438423768,-4.76946512100508,-2.41858367912977,2.32070789165204,1.00008279083819,15000,1,0.909
"BB[84,1]",-6.68168312065065,3.67627302137275,-14.0663152601226,-9.10761083316708,-6.63833016274268,-4.2455315733931,0.532146238168273,1.00066005993043,7985,1,0.9656
"BB[85,1]",-6.50920330697021,3.69423194400893,-13.8217362316605,-8.99825055326986,-6.49007072746477,-4.03126147421559,0.604945372643515,1.00031422139459,10232,1,0.9632
"BB[86,1]",-7.64355078463639,3.47166854761275,-14.4750264557549,-9.97664904455679,-7.61500233249936,-5.26145313104193,-0.934671678854709,1.00041242292731,4255,0,0.986666666666667
"BB[87,1]",-5.29997396885492,3.61859789205973,-12.3996196489961,-7.68586441920652,-5.32143337295066,-2.91878703268973,1.87481599286131,1.00039564487769,8710,1,0.9288
"BB[88,1]",-7.82444964025176,2.87735952207158,-13.5134183796635,-9.76168229618214,-7.79810580048324,-5.86168609957337,-2.2206061579805,1.00010698345242,9826,0,0.996666666666667
"BB[89,1]",-3.11845636176788,3.21034805411036,-9.3163745994562,-5.29767897618243,-3.17443955372249,-0.950338287411709,3.22232765309635,1.00046267249219,4943,1,0.831
"BB[90,1]",-4.03202398959071,3.77297120451547,-11.2668297412093,-6.59969413016798,-4.08535222150087,-1.56188544763767,3.52959317937464,1.00071910847793,3570,1,0.858266666666667
